Feature	Gain	Cover	Frequency
mforex_sell	7.99321814642664e-05	0.000549652531882001	9.41667438933614e-05
mtarjeta_master_descuentos	7.01224409249821e-05	0.000454774955208117	6.27778292622409e-05
cpagodeservicios	6.85049197662328e-05	0.000227840058006455	3.288362485165e-05
ctarjeta_visa_descuentos	5.59595857433011e-05	0.000207113946283744	7.32408008059478e-05
cinversion1	4.88717695654429e-05	0.000428919757599777	8.66931927907137e-05
cforex_sell	4.61441315646947e-05	0.000223817650012498	3.73677555132387e-05
mprestamos_hipotecarios	4.48206879619764e-05	0.00128551462710684	8.2209062129125e-05
cforex	3.72719997210431e-05	0.000248423441682202	5.53042781595932e-05
mcheques_emitidos_rechazados	3.32418158390539e-05	0.0024686610335408	8.66931927907137e-05
Visa_madelantopesos	3.19830822477271e-05	5.50788247275167e-05	3.43783350721796e-05
minversion1_dolares	2.76650096642099e-05	0.000479078629922377	1.79365226463546e-05
cforex_buy	2.69470311428684e-05	0.00138329278043278	8.96826132317728e-05
mpayroll2	2.18207404831126e-05	0.000208339709666518	1.49471022052955e-05
ctarjeta_master_descuentos	1.36041663389106e-05	0.000128964509268833	1.6441812425825e-05
ccuenta_corriente	1.22184027761856e-05	2.97356709296899e-06	2.98942044105909e-06
cliente_vip	8.25895547339125e-06	0.00079123534117653	2.54100737490023e-05
mplazo_fijo_pesos	5.49432417077689e-06	0.000130447881305579	5.97884088211818e-06
cpayroll2_trx	5.25286375928385e-06	8.3462982438724e-07	1.49471022052955e-06
Visa_cadelantosefectivo	5.04658961652536e-06	0.000233371860716094	8.96826132317728e-06
mcuenta_corriente_adicional	1.39554988950702e-06	1.70569933302743e-05	1.49471022052955e-06
Master_madelantodolares	8.53927885721717e-07	5.77100507851025e-07	2.98942044105909e-06
Visa_madelantodolares	2.9067816752435e-07	0.000135710174745879	8.96826132317728e-06
Master_madelantopesos	2.40326045865883e-07	1.71337126306719e-06	7.47355110264773e-06
ccheques_emitidos_rechazados	5.70487209298998e-08	5.18412226482777e-05	1.49471022052955e-06
